jest1, j_std1, jest2, j_std2, jest3 ,j_std3, jest4, j_std4
0.1,1.4162e-015,0.01,1.6835e-016,0.1,1.4162e-015,0.01,1.6835e-016
0.099333,0.049123,0.01,0.0019519,0.085,0.016591,0.0098039,3.1241e-017
0.10471,0.064983,0.010077,0.0029447,0.073857,0.018477,0.0096154,2.2736e-016
0.1015,0.063358,0.010057,0.0033722,0.066875,0.022984,0.009434,1.5967e-016
0.10167,0.067325,0.0097963,0.0031091,0.059333,0.020147,0.0092593,1.1628e-016
0.1003,0.069171,0.0099818,0.0039268,0.0553,0.022415,0.0090909,1.9092e-017
0.10064,0.066624,0.010286,0.0048674,0.050455,0.0219,0.0089643,0.0007982
0.097083,0.066113,0.010018,0.0046426,0.048833,0.023671,0.0087719,9.7193e-017
0.10092,0.064696,0.009931,0.0047625,0.045462,0.023181,0.0086207,1.3364e-016
0.099857,0.062367,0.0097966,0.0045476,0.0415,0.020519,0.0084915,0.00053598
0.10167,0.065297,0.0098667,0.0049896,0.039933,0.021218,0.0083333,1.6835e-016
0.099,0.062247,0.010115,0.0055211,0.03825,0.021063,0.0082295,0.00073277
0.10029,0.060334,0.010048,0.0055871,0.035824,0.019441,0.0080806,0.00051004
0.10122,0.062991,0.010048,0.0056217,0.0345,0.019123,0.0079365,2.6034e-017
0.097526,0.060279,0.010188,0.0059916,0.034263,0.020811,0.0078438,0.00069842
0.1016,0.056971,0.010062,0.0060459,0.03245,0.019036,0.0077385,0.00084181
0.097048,0.056784,0.0098333,0.0058081,0.031952,0.019397,0.0076061,0.00067726
0.098545,0.054188,0.0097015,0.0056172,0.029909,0.018022,0.0074925,0.00066715
0.10143,0.056802,0.01,0.0061303,0.030043,0.018482,0.0073676,0.00046504
0.099125,0.053359,0.010246,0.0065194,0.029625,0.019306,0.0073043,0.00091522
0.1006,0.053405,0.0098143,0.0059626,0.02728,0.016543,0.0072143,0.0010081
0.098577,0.051985,0.010239,0.0065714,0.027077,0.017226,0.0070563,0.00044539
0.10048,0.051581,0.010069,0.0066406,0.027111,0.017308,0.0069722,0.00062082
0.098964,0.052021,0.010014,0.0065103,0.025964,0.01674,0.006863,0.00043319
0.098931,0.050053,0.010351,0.007119,0.025345,0.017104,0.0067973,0.00073942
0.10127,0.050978,0.010013,0.0067231,0.025533,0.01665,0.0066933,0.00059599
0.10161,0.049512,0.0098026,0.0064355,0.024774,0.017022,0.0065789,1.2236e-016
0.10016,0.048978,0.010039,0.0067575,0.023531,0.016155,0.0065584,0.00091648
0.099303,0.045084,0.010141,0.0069351,0.023667,0.015341,0.0064615,0.00080962
0.10191,0.047756,0.010165,0.0069041,0.023235,0.015457,0.0063797,0.00079937
0.10337,0.047474,0.0099,0.0065313,0.023686,0.015572,0.0063125,0.00088211
0.10211,0.047156,0.0096543,0.00668,0.022111,0.015282,0.0061728,1.3017e-016
0.10205,0.04793,0.010061,0.0069169,0.021757,0.01481,0.006122,0.00054511
0.096868,0.042178,0.0097952,0.0069354,0.022211,0.015569,0.0060843,0.00085023
0.099974,0.044654,0.0097024,0.0066719,0.020692,0.014484,0.0059881,0.0006514
0.097475,0.043853,0.0098471,0.006938,0.022175,0.015484,0.0059059,0.00052587
0.09761,0.043076,0.010349,0.0071137,0.021195,0.01502,0.0058488,0.00063625
0.10071,0.04375,0.010161,0.0068088,0.021,0.014374,0.0057816,0.00062894
0.09986,0.043564,0.0105,0.0074226,0.020442,0.014331,0.0057727,0.0010128
0.099091,0.042262,0.01,0.0069652,0.021,0.014528,0.0056404,0.00050224
0.10176,0.040989,0.0098556,0.0067367,0.020156,0.01412,0.0056333,0.00092683
0.099304,0.043081,0.010033,0.0069399,0.019761,0.013717,0.0055165,0.0004912
0.099894,0.03991,0.010239,0.0070699,0.019894,0.013726,0.0055543,0.0011343
0.10023,0.040601,0.010065,0.007216,0.019083,0.013997,0.0053978,0.00048063
0.099776,0.039874,0.0099681,0.0070444,0.018959,0.012865,0.0053617,0.00067181
0.10298,0.040388,0.0096842,0.0066574,0.0187,0.013118,0.0053053,0.00066474
0.099804,0.03979,0.01001,0.007284,0.019608,0.014228,0.0052396,0.00056997
0.10006,0.040298,0.010227,0.0073655,0.019712,0.013972,0.0052062,0.00072752
0.099792,0.039663,0.01048,0.0074413,0.018472,0.012657,0.0051531,0.00072009
0.099,0.037981,0.0099697,0.0070005,0.018759,0.012727,0.005101,0.00071282
0.10004,0.038563,0.01047,0.0072548,0.018327,0.01239,0.00507,0.00083414
0.10002,0.038999,0.010238,0.0071901,0.017982,0.012833,0.0050099,0.00076501
0.10063,0.037982,0.010471,0.007257,0.018789,0.013402,0.004951,0.00069185
0.099328,0.037765,0.010126,0.0070056,0.017845,0.012448,0.0049126,0.00075015
0.099,0.037731,0.010087,0.0071189,0.018678,0.01337,0.0048654,0.00074294
0.1006,0.037237,0.0098952,0.0070051,0.01705,0.012428,0.004819,0.00073586
0.098656,0.037451,0.0098585,0.0070505,0.017508,0.01209,0.0047453,0.0005162
0.10003,0.034494,0.0098598,0.0068007,0.017097,0.012123,0.004729,0.00072211
0.1,0.036788,0.010398,0.0072642,0.016635,0.012008,0.0046574,0.00050664
0.1008,0.036864,0.01022,0.0073603,0.017063,0.011631,0.0046606,0.0008177
0.099062,0.035587,0.010418,0.0073481,0.016508,0.011929,0.0046273,0.00085898
0.099242,0.035916,0.0097838,0.0067246,0.016712,0.012064,0.0045946,0.00089683
0.10143,0.035085,0.010089,0.0070966,0.016731,0.011638,0.0045089,0.00063008
0.10101,0.033644,0.010088,0.0071185,0.015779,0.011346,0.0044425,0.00039557
0.10248,0.035437,0.0097105,0.0068125,0.016362,0.011207,0.0044386,0.00067777
0.10133,0.035206,0.010035,0.0071121,0.016986,0.011737,0.0043739,0.0004758
0.099254,0.034505,0.01,0.0074415,0.016183,0.011601,0.0043534,0.00060835
0.10111,0.033974,0.010009,0.0070762,0.016764,0.011931,0.0042906,0.00038204
0.10108,0.034814,0.010271,0.0070075,0.016137,0.011469,0.0042627,0.00046371
0.1008,0.033669,0.0099832,0.0070074,0.01623,0.011596,0.0042941,0.00095414
0.099973,0.033243,0.010025,0.0068286,0.015427,0.010783,0.0042,0.00052625
0.099868,0.033074,0.010074,0.0069083,0.015447,0.011012,0.0041983,0.0007366
0.10053,0.032465,0.0096885,0.0067669,0.015961,0.011068,0.0041393,0.00057843
0.10074,0.033231,0.010114,0.0069139,0.015013,0.01098,0.0041301,0.00072462
