lest1,l_std1,lest2,l_std2,lest3,l_std3,lest4,l_std4
0.1,1.4162e-015,0.01,1.6835e-016,0.1,1.4162e-015,0.01,1.6835e-016
0.099636,0.026794,0.01,0.00098563,0.091818,0.0090499,0.009901,1.6315e-016
0.10275,0.037907,0.010039,0.0015012,0.08475,0.010778,0.0098039,3.1241e-017
0.10092,0.03899,0.010029,0.0017352,0.079615,0.014144,0.0097087,1.0066e-016
0.10107,0.04328,0.0098942,0.0016143,0.073857,0.012951,0.0096154,2.2736e-016
0.1002,0.046114,0.0099905,0.0020569,0.0702,0.014943,0.0095238,3.1241e-017
0.10044,0.045804,0.010151,0.0025715,0.065937,0.015056,0.0094528,0.00042169
0.097941,0.046668,0.010009,0.0024732,0.063882,0.016709,0.0093458,1.7703e-016
0.10067,0.046725,0.009963,0.0025576,0.060611,0.016741,0.0092593,1.1628e-016
0.099895,0.045954,0.0098899,0.0024615,0.056895,0.015119,0.0091835,0.00029012
0.10125,0.048973,0.0099273,0.0027216,0.05495,0.015914,0.0090909,1.9092e-017
0.099238,0.047427,0.010063,0.0030341,0.052952,0.016048,0.009027,0.00040269
0.10023,0.046622,0.010027,0.0030928,0.050409,0.015023,0.0089375,0.00028235
0.10096,0.049298,0.010027,0.0031342,0.048739,0.014965,0.0088496,8.5044e-017
0.098042,0.047721,0.010105,0.0033637,0.047958,0.016476,0.0087895,0.0003921
0.10128,0.045577,0.010035,0.0034173,0.04596,0.015229,0.0087217,0.0004758
0.097615,0.045864,0.0099052,0.0033046,0.045038,0.015667,0.0086379,0.00038534
0.098815,0.044153,0.0098291,0.0032167,0.042889,0.014684,0.0085641,0.00038204
0.10118,0.046659,0.01,0.0035327,0.042536,0.015182,0.0084831,0.00026799
0.099276,0.044159,0.010143,0.0037801,0.041759,0.015978,0.008437,0.00053068
0.1005,0.044504,0.0098917,0.0034782,0.0394,0.013786,0.008375,0.00058807
0.098806,0.0436,0.01014,0.003856,0.038839,0.014447,0.0082727,0.00026135
0.10041,0.043521,0.010041,0.0039191,0.0385,0.014604,0.0082131,0.00036639
0.099121,0.044139,0.010008,0.0038638,0.037182,0.014203,0.0081382,0.0002571
